date,open,high,low,close,volume
11/29/21,34.5,34.7,33.0,33.0,13299.0
11/29/21,54.5,54.5,50.0,52.5,41338.0
11/29/21,10.1,10.2,9.8,9.9,126203.0
11/29/21,120.6,126.9,120.6,123.0,4942.0
11/29/21,35.6,35.9,35.4,35.6,86076.0
11/29/21,18.5,19.1,17.6,18.2,632626.0
11/29/21,6.1,6.1,6.0,6.0,235911.0
11/29/21,33.1,34.9,33.0,34.0,15111.0
11/29/21,7.0,7.1,6.8,6.9,257486.0
11/29/21,16.3,16.5,16.1,16.4,419892.0
11/29/21,2855.6,2863.9,2841.0,2861.0,432.0
11/29/21,9.8,10.3,9.8,10.3,249008.0
11/29/21,52.6,55.2,52.6,53.9,571215.0
11/29/21,21.2,21.4,20.9,21.1,234369.0
11/29/21,63.0,63.5,60.5,61.4,30614.0
11/29/21,247.5,248.9,245.4,248.2,68033.0
11/29/21,52.0,52.0,50.6,51.8,7018.0
11/29/21,25.0,25.4,25.0,25.3,592205.0
11/29/21,42.3,42.4,41.8,42.0,58936.0
11/29/21,9.6,9.9,9.6,9.8,1271465.0
11/29/21,8.8,8.8,8.7,8.8,66795.0
11/29/21,22.2,22.2,21.8,21.9,104566.0
11/29/21,1121.2,1128.0,1117.0,1119.5,4984.0
11/29/21,268.0,268.0,265.0,266.3,3970.0
11/29/21,10.2,10.6,10.2,10.3,913995.0
11/29/21,10.1,10.4,10.0,10.4,179776.0
11/29/21,8.2,8.4,8.1,8.1,159264.0
11/29/21,7.1,7.2,7.0,7.0,107170.0
11/29/21,115.1,116.0,106.0,116.0,1180.0
11/30/21,6.5,6.6,6.4,6.5,502665.0
11/30/21,21.2,21.5,21.0,21.5,326072.0
11/30/21,43.3,43.7,42.0,42.0,98723.0
11/30/21,27.3,27.8,27.0,27.5,245790.0
11/30/21,5.9,5.9,5.7,5.7,352028.0
11/30/21,14.8,15.0,14.5,14.6,2075086.0
11/30/21,29.0,32.0,29.0,30.9,377689.0
11/30/21,297.0,299.8,285.2,289.4,108481.0
11/30/21,154.5,155.5,146.3,148.0,14143.0
11/30/21,85.9,85.9,83.6,83.7,115083.0
11/30/21,24.5,25.3,24.0,24.3,3828204.0
11/30/21,59.0,59.0,55.5,55.9,102125.0
11/30/21,26.0,26.2,25.1,25.2,654983.0
11/30/21,32.6,32.9,31.1,31.4,1058437.0
11/30/21,27.0,27.5,26.9,27.0,34796.0
11/30/21,21.4,21.9,20.8,21.1,801374.0
11/30/21,53.2,53.2,52.2,52.7,190161.0
11/30/21,8.8,8.8,8.4,8.5,66028.0
11/30/21,69.1,71.8,67.2,67.3,149574.0
11/30/21,26.8,26.9,26.3,26.4,165020.0
11/30/21,16.7,16.7,15.6,16.3,76698.0
11/30/21,61.0,62.6,60.3,61.0,971962.0
11/30/21,388.9,390.0,382.0,382.1,1087.0
11/30/21,212.8,214.8,208.0,208.5,7505.0
11/30/21,36.4,36.4,35.5,36.1,33990.0
11/30/21,385.0,399.0,380.0,393.8,206048.0
11/30/21,41.0,42.0,40.5,41.0,99743.0
11/30/21,126.2,131.9,126.1,126.5,7396.0
11/30/21,234.0,242.0,231.0,241.5,4430.0
11/30/21,112.1,120.8,112.1,117.7,13965.0
11/30/21,118.9,119.9,115.6,116.5,14619.0
11/30/21,8.5,8.5,8.2,8.3,471317.0
11/30/21,296.0,296.0,280.0,281.6,9400.0
11/30/21,33.7,33.7,33.7,33.7,81553.0
11/30/21,18.0,18.2,17.9,17.9,206014.0
11/30/21,83.3,83.5,80.7,81.5,92002.0
11/30/21,64.2,65.0,61.1,61.8,42225.0
11/30/21,9.8,10.1,9.8,9.9,66263.0
11/30/21,107.8,107.8,90.0,99.0,1044.0
11/30/21,96.8,96.8,91.6,92.0,28227.0
11/30/21,112.3,112.8,111.0,112.5,13734.0
11/30/21,20.1,20.3,20.0,20.1,108689.0
11/30/21,24.4,24.4,23.3,23.5,453400.0
11/30/21,869.0,880.7,869.0,871.5,303.0
11/30/21,626.8,626.8,619.5,620.4,554312.0
11/30/21,33.7,33.7,32.4,32.6,673287.0
11/30/21,16.3,16.3,16.1,16.1,81972.0
11/30/21,58.7,58.7,57.1,57.3,434193.0
11/30/21,126.0,127.5,123.1,127.5,6019.0
11/30/21,24.3,24.3,23.6,23.9,365944.0
11/30/21,63.5,63.5,61.6,61.8,765911.0
11/30/21,175.9,175.9,170.0,170.6,36675.0
11/30/21,19.8,21.3,19.7,20.4,1464751.0
11/30/21,16.8,16.8,16.3,16.5,43003.0
11/30/21,26.0,26.8,25.3,25.9,560103.0
11/30/21,228.8,228.8,221.9,223.6,130976.0
11/30/21,21.7,21.7,20.5,20.9,218882.0
11/30/21,1761.0,1773.0,1758.9,1759.0,694.0
11/30/21,158.8,161.5,149.8,152.0,6367831.0
11/30/21,48.7,49.0,47.5,47.7,31117.0
11/30/21,6.5,6.5,5.8,6.0,73975.0
11/30/21,122.9,122.9,116.1,117.7,21734.0
11/30/21,37.0,37.3,36.5,36.6,418605.0
11/30/21,55.2,56.5,52.6,54.2,4822515.0
11/30/21,45.3,46.0,44.5,44.7,347973.0
11/30/21,180.3,180.3,177.0,179.2,92898.0
11/30/21,98.9,101.9,98.9,100.1,98912.0
11/30/21,68.4,68.4,67.0,67.2,47685.0
11/30/21,200.0,203.0,190.9,192.5,2507023.0
11/30/21,10.2,10.2,10.0,10.0,194175.0
11/30/21,17.9,17.9,17.4,17.5,159292.0
11/30/21,51.2,52.0,50.2,50.4,140755.0
11/30/21,12.0,12.2,11.9,11.9,252861.0
11/30/21,28.0,28.0,26.3,27.3,1363604.0
11/30/21,40.6,40.6,39.0,39.1,313964.0
11/30/21,7.7,7.7,7.5,7.6,460484.0
11/30/21,116.6,125.9,113.2,113.7,160289.0
11/30/21,44.0,44.1,42.6,42.9,137586.0
11/30/21,32.6,33.3,31.5,31.8,161397.0
11/30/21,54.0,54.0,52.0,52.2,67354.0
11/30/21,164.4,164.4,156.0,156.6,54791.0
11/30/21,22.0,22.1,21.1,21.3,314458.0
11/30/21,60.1,60.3,60.0,60.2,17490.0
11/30/21,78.6,78.6,77.0,77.2,77477.0
11/30/21,8.1,8.1,7.8,7.8,181030.0
11/30/21,207.8,208.7,197.1,198.9,1029071.0
11/30/21,8.9,8.9,8.6,8.6,352033.0
11/30/21,36.0,36.1,35.4,35.5,35916.0
11/30/21,21.2,21.5,20.1,20.2,1024521.0
11/30/21,38.8,39.0,38.1,38.3,68486.0
11/30/21,14.7,14.8,14.2,14.3,2259264.0
11/30/21,71.1,71.5,70.1,70.4,71734.0
11/30/21,24.1,24.8,24.0,24.1,199719.0
11/30/21,67.3,67.3,65.7,66.5,96900.0
11/30/21,148.3,153.4,141.0,142.8,19270.0
